plot,mean_wt_c,total_cover,total_richness,year
I13,0.16,74,9,1979
A20,0.14,245,9,1984
A18,0.14,66,7,2005
A25,0.13,120,4,1980
A16,0.12,146,7,1987
A17,0.11,181,8,1987
H11,0.1,101,8,1979
L18,0.09,106,4,2005
L10,0.08,91,11,1979
A24,0.08,119,6,1982
A24,0.06,88,5,1980
A24,0.05,293,5,1984
A24,0.03,88,3,1979
L13,0.02,101,2,1979
L13,0.02,111,5,1982
A25,0.02,219,8,1984
L13,0.01,101,3,1980
A25,0,103,3,1979
H13,0,92,7,1979
A24,0,102,4,1981
A25,0,130,5,1981
H13,0,92,7,1981
A24,0,100,5,1987
A25,0,143,5,1987
L1,0,62,7,2005
