plot,mean_wt_c,total_cover,total_richness,year
F14,6.17,119,18,1980
G9,6.17,81,21,1982
D16,6.17,183,22,1987
E21,6.16,70,4,1980
G3,6.16,190,18,1984
J2,6.16,68,9,2005
J4,6.16,95,18,2020
D16,6.15,110,15,1980
J7,6.15,99,18,1982
C7,6.14,156,24,1982
F9,6.14,191,10,1984
B7,6.14,233,19,1995
J4,6.13,134,18,1980
D3,6.13,187,19,1995
I6,6.12,82,13,1979
C16,6.12,83,19,1980
B2,6.12,89,17,1981
C19,6.12,128,4,1984
J7,6.12,153,15,1995
F15,6.11,95,23,1982
D11,6.11,133,14,2005
C23,6.09,110,15,1979
K7,6.09,87,20,1981
H5,6.09,97,12,2005
G9,6.08,99,21,1980
J4,6.08,153,20,1995
D9,6.07,73,3,1979
D19,6.07,71,3,1982
B6,6.07,239,14,1984
C3,6.07,119,19,1995
G7,6.06,216,22,1980
D14,6.06,124,23,1981
L2,6.06,86,6,1984
G9,6.05,85,13,2005
J4,6.04,111,20,1981
G2,6.04,113,10,1987
E12,6.04,227,18,1987
E4,6.04,167,19,1995
L3,6.03,60,7,1981
E9,6.03,148,6,1984
J11,6.03,62,12,2005
C7,6.03,151,19,2020
D9,6.02,129,5,1984
H1,6.02,48,17,2005
D9,6.01,89,3,1980
E20,6,75,2,1979
D22,6,141,7,1987
C23,6,280,13,1987
D20,6,100,5,2005
G9,6,111,11,2020
E12,5.99,115,14,1979
I4,5.99,71,13,1979
B7,5.99,147,17,1981
K6,5.99,107,17,1982
G2,5.99,123,16,1984
H7,5.99,179,15,1987
D21,5.99,139,8,1987
D6,5.99,90,14,2020
E17,5.98,145,15,1984
D6,5.98,115,20,1995
E3,5.98,156,19,1995
C2,5.98,137,21,2020
E3,5.97,116,17,1982
F11,5.96,47,12,1979
D9,5.96,71,4,1981
G9,5.96,139,18,1984
B9,5.96,26,3,2005
C13,5.95,63,9,1979
H10,5.95,116,12,2020
I1,5.95,57,7,2020
E8,5.94,90,5,1981
H5,5.94,122,13,1981
D13,5.94,100,21,1982
H5,5.93,89,15,1982
